Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km169.5_Group,km169.5_Position,km169.5_Elapsed_time,km169.5_Gap_to_previous_group,km169.5_Average_speed,km169.5_Current_speed,km169.5_Gradient,km169.5_GC_prov_position,km169.5_GC_prov_delay,km169.5_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
S. COLBRELLI,52,TBM,no,102,51h 08' 39'',1:43:56,03h 45' 55'',Main group,36,+0'00'',+0'00'',0 km/h,0 km/h,0%,102,1:43:56,51:08:39,Main group,53,+0'58'',+0'25'',50.12 km/h,38.99 km,-5%,100,1:43:56,51:31:34,Main group,17,+1'45'',+0'49'',55.49 km/h,44.14 km,-3%,100,1:43:56,51:45:25,Main group,33,+3'20'',+3'20'',49.07 km/h,51.98 km,-1%,101,1:43:56,51:58:40,Main group,66,+2'14'',+2'14'',50.74 km/h,85.10 km,-6%,101,1:43:56,52:11:10,Main group,100,+1'42'',+1'42'',40.27 km/h,54.40 km,-,101,1:43:56,52:23:28,Main group,131,+1'34'',+1'34'',44.15 km/h,40.21 km,-1%,101,1:43:56,52:35:45,Main group,100,+2'00'',+2'00'',37.33 km/h,45.32 km,-2%,101,1:43:56,52:48:37,Main group,66,+2'10'',+2'10'',44.80 km/h,42.95 km,-,101,1:43:56,53:02:29,Main group,116,+2'06'',+2'06'',38.54 km/h,34.06 km,3%,101,1:43:56,53:13:59,Main group,77,+1'30'',+1'30'',45.56 km/h,49.64 km,-,101,1:43:56,53:26:38,Main group,36,+1'00'',+1'00'',29.46 km/h,23.15 km,5%,101,1:43:56,53:38:35,Main group,64,+0'51'',+0'51'',39.86 km/h,34.27 km,-2%,100,1:43:56,53:51:50,Main group,79,+0'57'',+0'57'',39.13 km/h,32.76 km,4%,100,1:43:56,54:04:13,Main group,72,+0'35'',+0'35'',41.03 km/h,37.26 km,-,100,1:43:56,54:16:56,Main group,53,+0'47'',+0'47'',39.62 km/h,62.35 km,-2%,100,1:43:56,54:29:28,Main group,62,+0'25'',+0'25'',59.36 km/h,55.15 km,-,100,1:43:56,54:34:57,Main group,35,+0'24'',+0'24'',55.14 km/h,56.23 km,-1%,100,1:43:56,54:41:42,Main group,55,+0'00'',+0'00'',49.69 km/h,52.67 km,-,100,1:43:56,54:47:57,Main group,9,+0'00'',-,-,-,-,98,1:43:56,54:54:34
H. HAUSSLER,53,TBM,no,117,51h 17' 46'',1:53:03,03h 46' 38'',Main group,37,+0'00'',+0'00'',0 km/h,0 km/h,0%,117,1:53:03,51:17:46,Main group,7,+0'58'',+0'25'',49.70 km/h,41.83 km,-5%,115,1:53:03,51:40:41,Main group,98,+1'45'',+0'49'',55.26 km/h,43.96 km,-2%,115,1:53:03,51:54:32,Main group,136,+3'20'',+3'20'',48.40 km/h,51.05 km,-1%,115,1:53:03,52:07:47,Main group,112,+2'14'',+2'14'',51.12 km/h,85.03 km,-7%,115,1:53:03,52:20:17,Main group,105,+1'42'',+1'42'',40.98 km/h,51.91 km,-,115,1:53:03,52:32:35,Main group,95,+1'34'',+1'34'',40.98 km/h,40.72 km,-1%,115,1:53:03,52:44:52,Main group,118,+2'00'',+2'00'',40.16 km/h,43.34 km,-2%,115,1:53:03,52:57:44,Main group,130,+2'10'',+2'10'',44.62 km/h,42.01 km,-,115,1:53:03,53:11:36,Main group,110,+2'06'',+2'06'',40.06 km/h,43.52 km,3%,115,1:53:03,53:23:06,Main group,86,+1'30'',+1'30'',45.15 km/h,47.95 km,-,115,1:53:03,53:35:45,Main group,63,+1'00'',+1'00'',29.39 km/h,25.74 km,5%,115,1:53:03,53:47:42,Main group,143,+0'51'',+0'51'',40.64 km/h,32.36 km,-1%,115,1:53:03,54:00:57,Main group,116,+0'57'',+0'57'',38.79 km/h,32.47 km,4%,115,1:53:03,54:13:20,Main group,107,+0'35'',+0'35'',41.48 km/h,31.10 km,-,115,1:53:03,54:26:03,Main group,61,+0'47'',+0'47'',39.48 km/h,65.27 km,-2%,114,1:53:03,54:38:35,Main group,48,+0'25'',+0'25'',59.65 km/h,52.24 km,-,115,1:53:03,54:44:04,Main group,18,+0'24'',+0'24'',55.27 km/h,57.28 km,-1%,115,1:53:03,54:50:49,Main group,42,+0'00'',+0'00'',49.39 km/h,51.98 km,-,115,1:53:03,54:57:04,Stragglers,66,+0'43'',-,-,-,-,115,1:53:46,55:04:24
G. IZAGUIRRE INSAUSTI,54,TBM,no,37,50h 24' 07'',0:59:24,03h 45' 55'',Main group,38,+0'00'',+0'00'',0 km/h,0 km/h,0%,37,0:59:24,50:24:07,Main group,125,+0'58'',+0'25'',49.81 km/h,39.28 km,-4%,36,0:59:24,50:47:02,Main group,59,+1'45'',+0'49'',56.39 km/h,43.78 km,-2%,36,0:59:24,51:00:53,Main group,114,+3'20'',+3'20'',48.03 km/h,49.28 km,-1%,36,0:59:24,51:14:08,Main group,131,+2'14'',+2'14'',51.89 km/h,82.69 km,-7%,36,0:59:24,51:26:38,Main group,70,+1'42'',+1'42'',42.11 km/h,53.03 km,-,36,0:59:24,51:38:56,Main group,78,+1'34'',+1'34'',41.22 km/h,39.85 km,-1%,36,0:59:24,51:51:13,Main group,135,+2'00'',+2'00'',39.80 km/h,43.13 km,-2%,36,0:59:24,52:04:05,Main group,126,+2'10'',+2'10'',44.56 km/h,42.44 km,-,36,0:59:24,52:17:57,Main group,109,+2'06'',+2'06'',39.64 km/h,36.36 km,3%,36,0:59:24,52:29:27,Main group,121,+1'30'',+1'30'',44.68 km/h,40.72 km,-,36,0:59:24,52:42:06,Main group,108,+1'00'',+1'00'',29.39 km/h,25.49 km,5%,36,0:59:24,52:54:03,Main group,99,+0'51'',+0'51'',40.26 km/h,33.95 km,-2%,36,0:59:24,53:07:18,Main group,71,+0'57'',+0'57'',39.01 km/h,31.25 km,4%,36,0:59:24,53:19:41,Main group,122,+0'35'',+0'35'',41.39 km/h,38.20 km,-,36,0:59:24,53:32:24,Main group,95,+0'47'',+0'47'',39.65 km/h,63.40 km,-3%,36,0:59:24,53:44:56,Main group,116,+0'25'',+0'25'',59.23 km/h,52.74 km,-,36,0:59:24,53:50:25,Main group,128,+0'24'',+0'24'',55.52 km/h,55.19 km,-1%,36,0:59:24,53:57:10,Main group,85,+0'00'',+0'00'',49.85 km/h,50.72 km,-1%,36,0:59:24,54:03:25,Main group,54,+0'00'',-,-,-,-,36,0:59:24,54:10:02
J. IZAGUIRRE INSAUSTI,55,TBM,no,25,50h 01' 31'',0:36:48,03h 47' 02'',Main group,39,+0'00'',+0'00'',0 km/h,0 km/h,0%,25,0:36:48,50:01:31,Main group,59,+0'58'',+0'25'',50.92 km/h,40.97 km,-4%,24,0:36:48,50:24:26,Main group,119,+1'45'',+0'49'',55.62 km/h,44.10 km,-2%,24,0:36:48,50:38:17,Main group,118,+3'20'',+3'20'',48.35 km/h,49.82 km,-1%,24,0:36:48,50:51:32,Main group,53,+2'14'',+2'14'',51.07 km/h,84.49 km,-5%,24,0:36:48,51:04:02,Main group,61,+1'42'',+1'42'',41.30 km/h,50.69 km,-,24,0:36:48,51:16:20,Main group,97,+1'34'',+1'34'',40.80 km/h,38.92 km,-1%,24,0:36:48,51:28:37,Main group,130,+2'00'',+2'00'',37.19 km/h,41.90 km,-2%,24,0:36:48,51:41:29,Main group,121,+2'10'',+2'10'',44.29 km/h,40.93 km,-,24,0:36:48,51:55:21,Main group,73,+2'06'',+2'06'',39.89 km/h,35.96 km,3%,24,0:36:48,52:06:51,Main group,89,+1'30'',+1'30'',45.13 km/h,48.02 km,-,24,0:36:48,52:19:30,Main group,74,+1'00'',+1'00'',29.08 km/h,23.54 km,5%,24,0:36:48,52:31:27,Main group,78,+0'51'',+0'51'',40.45 km/h,34.52 km,-2%,24,0:36:48,52:44:42,Main group,25,+0'57'',+0'57'',39.18 km/h,37.30 km,3%,24,0:36:48,52:57:05,Main group,105,+0'35'',+0'35'',41.51 km/h,33.23 km,-,24,0:36:48,53:09:48,Main group,49,+0'47'',+0'47'',39.43 km/h,64.01 km,-2%,24,0:36:48,53:22:20,Main group,72,+0'25'',+0'25'',59.38 km/h,54.86 km,-,24,0:36:48,53:27:49,Main group,80,+0'24'',+0'24'',55.15 km/h,57.56 km,-1%,24,0:36:48,53:34:34,Main group,11,+0'00'',+0'00'',49.89 km/h,53.03 km,-,24,0:36:48,53:40:49,Stragglers,75,+1'07'',-,-,-,-,23,0:37:55,53:48:33
K. KOREN,56,TBM,no,111,51h 13' 01'',1:48:18,03h 47' 00'',Main group,40,+0'00'',+0'00'',0 km/h,0 km/h,0%,111,1:48:18,51:13:01,Main group,131,+0'58'',+0'25'',49.83 km/h,35.24 km,-4%,109,1:48:18,51:35:56,Main group,97,+1'45'',+0'49'',55.35 km/h,44.28 km,-2%,109,1:48:18,51:49:47,Main group,68,+3'20'',+3'20'',48.90 km/h,50.04 km,-1%,109,1:48:18,52:03:02,Main group,92,+2'14'',+2'14'',51.05 km/h,83.56 km,-6%,109,1:48:18,52:15:32,Main group,86,+1'42'',+1'42'',42.48 km/h,54.36 km,-,109,1:48:18,52:27:50,Main group,110,+1'34'',+1'34'',44.67 km/h,39.42 km,-1%,109,1:48:18,52:40:07,Main group,113,+2'00'',+2'00'',37.62 km/h,43.49 km,-2%,109,1:48:18,52:52:59,Main group,76,+2'10'',+2'10'',45.26 km/h,44.32 km,-,109,1:48:18,53:06:51,Main group,41,+2'06'',+2'06'',40.42 km/h,37.19 km,3%,109,1:48:18,53:18:21,Main group,83,+1'30'',+1'30'',45.54 km/h,45.58 km,-,109,1:48:18,53:31:00,Main group,88,+1'00'',+1'00'',29.42 km/h,25.63 km,5%,109,1:48:18,53:42:57,Main group,48,+0'51'',+0'51'',41.15 km/h,35.53 km,-2%,109,1:48:18,53:56:12,Main group,140,+0'57'',+0'57'',42.16 km/h,34.92 km,3%,109,1:48:18,54:08:35,Main group,100,+0'35'',+0'35'',41.91 km/h,31.36 km,-,109,1:48:18,54:21:18,Main group,103,+0'47'',+0'47'',39.30 km/h,64.44 km,-3%,109,1:48:18,54:33:50,Main group,82,+0'25'',+0'25'',59.58 km/h,53.78 km,-,109,1:48:18,54:39:19,Main group,59,+0'24'',+0'24'',55.16 km/h,58.00 km,-1%,109,1:48:18,54:46:04,Main group,10,+0'00'',+0'00'',49.71 km/h,53.53 km,-,109,1:48:18,54:52:19,Stragglers,73,+1'05'',-,-,-,-,108,1:49:23,55:00:01
F. PELLIZOTTI,57,TBM,no,52,50h 40' 58'',1:16:15,03h 47' 57'',Main group,41,+0'00'',+0'00'',0 km/h,0 km/h,0%,52,1:16:15,50:40:58,Main group,57,+0'58'',+0'25'',49.70 km/h,38.84 km,-4%,51,1:16:15,51:03:53,Main group,45,+1'45'',+0'49'',55.51 km/h,46.15 km,-3%,51,1:16:15,51:17:44,Main group,143,+3'20'',+3'20'',45.50 km/h,54.68 km,-1%,51,1:16:15,51:30:59,Main group,105,+2'14'',+2'14'',51.13 km/h,84.35 km,-6%,51,1:16:15,51:43:29,Main group,99,+1'42'',+1'42'',40.94 km/h,52.96 km,-,51,1:16:15,51:55:47,Main group,94,+1'34'',+1'34'',41.08 km/h,37.84 km,-1%,51,1:16:15,52:08:04,Main group,115,+2'00'',+2'00'',37.32 km/h,41.18 km,-2%,51,1:16:15,52:20:56,Main group,75,+2'10'',+2'10'',45.07 km/h,42.12 km,-,51,1:16:15,52:34:48,Main group,54,+2'06'',+2'06'',39.13 km/h,37.91 km,3%,51,1:16:15,52:46:18,Main group,82,+1'30'',+1'30'',45.60 km/h,47.88 km,-,51,1:16:15,52:58:57,Main group,55,+1'00'',+1'00'',29.08 km/h,25.70 km,5%,51,1:16:15,53:10:54,Main group,120,+0'51'',+0'51'',40.44 km/h,31.72 km,-2%,51,1:16:15,53:24:09,Main group,80,+0'57'',+0'57'',39.25 km/h,32.15 km,4%,51,1:16:15,53:36:32,Main group,111,+0'35'',+0'35'',41.51 km/h,32.22 km,-,51,1:16:15,53:49:15,Main group,93,+0'47'',+0'47'',39.59 km/h,64.69 km,-3%,51,1:16:15,54:01:47,Main group,78,+0'25'',+0'25'',59.44 km/h,56.02 km,-,51,1:16:15,54:07:16,Main group,108,+0'24'',+0'24'',55.35 km/h,55.66 km,-1%,51,1:16:15,54:14:01,Main group,98,+0'00'',+0'00'',49.56 km/h,52.49 km,-1%,51,1:16:15,54:20:16,Stragglers,110,+2'02'',-,-,-,-,52,1:18:17,54:28:55
D. POZZOVIVO,58,TBM,no,27,50h 04' 31'',0:39:48,03h 47' 18'',Main group,42,+0'00'',+0'00'',0 km/h,0 km/h,0%,27,0:39:48,50:04:31,Main group,141,+0'58'',+0'25'',49.16 km/h,39.02 km,-4%,26,0:39:48,50:27:26,Main group,118,+1'45'',+0'49'',55.46 km/h,45.47 km,-2%,26,0:39:48,50:41:17,Main group,110,+3'20'',+3'20'',47.87 km/h,51.08 km,-1%,26,0:39:48,50:54:32,Main group,101,+2'14'',+2'14'',50.45 km/h,88.88 km,-6%,26,0:39:48,51:07:02,Main group,120,+1'42'',+1'42'',40.52 km/h,48.92 km,-,26,0:39:48,51:19:20,Main group,141,+1'34'',+1'34'',44.36 km/h,39.02 km,-1%,26,0:39:48,51:31:37,Main group,109,+2'00'',+2'00'',36.13 km/h,42.55 km,-2%,26,0:39:48,51:44:29,Main group,72,+2'10'',+2'10'',44.58 km/h,43.20 km,-,26,0:39:48,51:58:21,Main group,133,+2'06'',+2'06'',38.61 km/h,37.44 km,3%,26,0:39:48,52:09:51,Main group,84,+1'30'',+1'30'',44.92 km/h,44.78 km,-,26,0:39:48,52:22:30,Main group,102,+1'00'',+1'00'',28.96 km/h,22.93 km,5%,26,0:39:48,52:34:27,Main group,109,+0'51'',+0'51'',40.32 km/h,31.75 km,-2%,26,0:39:48,52:47:42,Main group,130,+0'57'',+0'57'',37.82 km/h,31.07 km,4%,26,0:39:48,53:00:05,Main group,135,+0'35'',+0'35'',41.36 km/h,40.54 km,-,26,0:39:48,53:12:48,Main group,111,+0'47'',+0'47'',38.66 km/h,63.79 km,-3%,26,0:39:48,53:25:20,Main group,127,+0'25'',+0'25'',59.17 km/h,51.70 km,-,26,0:39:48,53:30:49,Main group,115,+0'24'',+0'24'',55.12 km/h,55.12 km,-1%,26,0:39:48,53:37:34,Main group,105,+0'00'',+0'00'',49.57 km/h,49.18 km,-1%,26,0:39:48,53:43:49,Stragglers,79,+1'23'',-,-,-,-,26,0:41:11,53:51:49
A. YATES,61,MTS,no,22,49h 59' 38'',0:34:55,03h 47' 18'',Main group,43,+0'00'',+0'00'',0 km/h,0 km/h,0%,22,0:34:55,49:59:38,Main group,148,+0'58'',+0'25'',50.37 km/h,37.40 km,-4%,21,0:34:55,50:22:33,Main group,103,+1'45'',+0'49'',56.24 km/h,45.25 km,-2%,21,0:34:55,50:36:24,Main group,90,+3'20'',+3'20'',48.25 km/h,50.69 km,-1%,21,0:34:55,50:49:39,Main group,134,+2'14'',+2'14'',51.53 km/h,88.31 km,-7%,21,0:34:55,51:02:09,Main group,125,+1'42'',+1'42'',41.40 km/h,47.34 km,-,21,0:34:55,51:14:27,Main group,88,+1'34'',+1'34'',41.31 km/h,38.12 km,-1%,21,0:34:55,51:26:44,Main group,121,+2'00'',+2'00'',36.87 km/h,41.33 km,-2%,21,0:34:55,51:39:36,Main group,139,+2'10'',+2'10'',44.19 km/h,43.16 km,-,21,0:34:55,51:53:28,Main group,111,+2'06'',+2'06'',38.60 km/h,38.05 km,3%,21,0:34:55,52:04:58,Main group,117,+1'30'',+1'30'',44.36 km/h,42.55 km,-,21,0:34:55,52:17:37,Main group,128,+1'00'',+1'00'',29.82 km/h,21.24 km,5%,21,0:34:55,52:29:34,Main group,125,+0'51'',+0'51'',40.50 km/h,32.80 km,-2%,21,0:34:55,52:42:49,Main group,111,+0'57'',+0'57'',38.91 km/h,36.50 km,4%,21,0:34:55,52:55:12,Main group,128,+0'35'',+0'35'',41.57 km/h,36.40 km,-,21,0:34:55,53:07:55,Main group,114,+0'47'',+0'47'',39.20 km/h,64.44 km,-3%,21,0:34:55,53:20:27,Main group,112,+0'25'',+0'25'',59.41 km/h,52.99 km,-,21,0:34:55,53:25:56,Main group,119,+0'24'',+0'24'',55.15 km/h,57.13 km,-1%,21,0:34:55,53:32:41,Main group,103,+0'00'',+0'00'',49.84 km/h,51.80 km,-1%,21,0:34:55,53:38:56,Stragglers,81,+1'23'',-,-,-,-,21,0:36:18,53:46:56
J. BAUER,62,MTS,no,124,51h 21' 30'',1:56:47,03h 45' 55'',Main group,44,+0'00'',+0'00'',0 km/h,0 km/h,0%,124,1:56:47,51:21:30,Main group,102,+0'58'',+0'25'',49.86 km/h,38.84 km,-4%,122,1:56:47,51:44:25,Main group,107,+1'45'',+0'49'',56.17 km/h,46.15 km,-2%,122,1:56:47,51:58:16,Main group,149,+3'20'',+3'20'',45.07 km/h,58.97 km,-1%,122,1:56:47,52:11:31,Main group,146,+2'14'',+2'14'',51.35 km/h,88.38 km,-7%,122,1:56:47,52:24:01,Main group,136,+1'42'',+1'42'',41.13 km/h,53.17 km,-,122,1:56:47,52:36:19,Main group,105,+1'34'',+1'34'',41.74 km/h,38.30 km,-1%,122,1:56:47,52:48:36,Main group,141,+2'00'',+2'00'',36.93 km/h,41.15 km,-2%,122,1:56:47,53:01:28,Main group,138,+2'10'',+2'10'',44.10 km/h,43.60 km,-,122,1:56:47,53:15:20,Main group,149,+2'06'',+2'06'',39.35 km/h,33.84 km,3%,122,1:56:47,53:26:50,Main group,119,+1'30'',+1'30'',44.81 km/h,41.04 km,-,122,1:56:47,53:39:29,Main group,121,+1'00'',+1'00'',29.69 km/h,23.69 km,5%,122,1:56:47,53:51:26,Main group,135,+0'51'',+0'51'',41.02 km/h,29.88 km,-2%,122,1:56:47,54:04:41,Stragglers,149,+1'30'',+0'33'',41.24 km/h,36.47 km,3%,125,1:57:20,54:17:37,Main group,90,+0'35'',+0'35'',41.72 km/h,34.38 km,-,122,1:56:47,54:29:47,Main group,57,+0'47'',+0'47'',39.47 km/h,61.52 km,-2%,122,1:56:47,54:42:19,Main group,77,+0'25'',+0'25'',59.30 km/h,53.28 km,-,122,1:56:47,54:47:48,Main group,95,+0'24'',+0'24'',55.09 km/h,55.15 km,-1%,122,1:56:47,54:54:33,Main group,78,+0'00'',+0'00'',49.68 km/h,52.06 km,-1%,122,1:56:47,55:00:48,Main group,41,+0'00'',-,-,-,-,120,1:56:47,55:07:25
L. DURBRIDGE,63,MTS,no,118,51h 18' 52'',1:54:09,03h 48' 03'',Main group,45,+0'00'',+0'00'',0 km/h,0 km/h,0%,118,1:54:09,51:18:52,Main group,132,+0'58'',+0'25'',50.78 km/h,36.11 km,-4%,116,1:54:09,51:41:47,Main group,105,+1'45'',+0'49'',55.70 km/h,44.71 km,-2%,116,1:54:09,51:55:38,Main group,129,+3'20'',+3'20'',48.39 km/h,52.63 km,-1%,116,1:54:09,52:08:53,Main group,116,+2'14'',+2'14'',51.55 km/h,88.20 km,-7%,116,1:54:09,52:21:23,Main group,103,+1'42'',+1'42'',40.88 km/h,52.74 km,-,116,1:54:09,52:33:41,Main group,107,+1'34'',+1'34'',42.43 km/h,39.13 km,-1%,116,1:54:09,52:45:58,Main group,150,+2'00'',+2'00'',34.00 km/h,29.16 km,-2%,116,1:54:09,52:58:50,Main group,144,+2'10'',+2'10'',43.96 km/h,41.40 km,-,116,1:54:09,53:12:42,Main group,148,+2'06'',+2'06'',39.46 km/h,37.62 km,3%,116,1:54:09,53:24:12,Main group,124,+1'30'',+1'30'',44.38 km/h,44.71 km,-,116,1:54:09,53:36:51,Main group,120,+1'00'',+1'00'',30.33 km/h,24.26 km,5%,116,1:54:09,53:48:48,Main group,121,+0'51'',+0'51'',40.13 km/h,31.75 km,-2%,116,1:54:09,54:02:03,Main group,89,+0'57'',+0'57'',38.86 km/h,29.66 km,4%,116,1:54:09,54:14:26,Main group,136,+0'35'',+0'35'',41.82 km/h,33.48 km,-,116,1:54:09,54:27:09,Main group,127,+0'47'',+0'47'',39.01 km/h,60.37 km,-3%,116,1:54:09,54:39:41,Main group,106,+0'25'',+0'25'',59.56 km/h,51.19 km,-,116,1:54:09,54:45:10,Main group,120,+0'24'',+0'24'',55.20 km/h,56.70 km,-1%,116,1:54:09,54:51:55,Main group,135,+0'00'',+0'00'',49.19 km/h,52.27 km,-2%,116,1:54:09,54:58:10,Stragglers,138,+2'08'',-,-,-,-,118,1:56:17,55:06:55
M. HAYMAN,64,MTS,no,107,51h 12' 21'',1:47:38,03h 45' 55'',Main group,46,+0'00'',+0'00'',0 km/h,0 km/h,0%,107,1:47:38,51:12:21,Main group,120,+0'58'',+0'25'',50.35 km/h,37.76 km,-4%,105,1:47:38,51:35:16,Main group,115,+1'45'',+0'49'',55.48 km/h,45.43 km,-2%,105,1:47:38,51:49:07,Main group,82,+3'20'',+3'20'',48.66 km/h,52.06 km,-1%,105,1:47:38,52:02:22,Main group,95,+2'14'',+2'14'',50.70 km/h,76.93 km,-6%,105,1:47:38,52:14:52,Main group,101,+1'42'',+1'42'',41.25 km/h,54.47 km,-,105,1:47:38,52:27:10,Main group,96,+1'34'',+1'34'',40.81 km/h,38.20 km,-1%,105,1:47:38,52:39:27,Main group,143,+2'00'',+2'00'',38.99 km/h,41.18 km,-2%,105,1:47:38,52:52:19,Main group,145,+2'10'',+2'10'',44.01 km/h,42.12 km,-,105,1:47:38,53:06:11,Main group,101,+2'06'',+2'06'',39.29 km/h,37.08 km,3%,105,1:47:38,53:17:41,Main group,135,+1'30'',+1'30'',44.28 km/h,42.91 km,-,104,1:47:38,53:30:20,Main group,34,+1'00'',+1'00'',29.32 km/h,25.16 km,5%,105,1:47:38,53:42:17,Main group,68,+0'51'',+0'51'',39.87 km/h,32.00 km,-2%,105,1:47:38,53:55:32,Main group,98,+0'57'',+0'57'',38.68 km/h,32.15 km,4%,105,1:47:38,54:07:55,Main group,94,+0'35'',+0'35'',40.92 km/h,33.84 km,-,105,1:47:38,54:20:38,Main group,59,+0'47'',+0'47'',39.70 km/h,63.36 km,-2%,105,1:47:38,54:33:10,Main group,56,+0'25'',+0'25'',59.45 km/h,54.90 km,-,105,1:47:38,54:38:39,Main group,90,+0'24'',+0'24'',54.90 km/h,55.69 km,-1%,105,1:47:38,54:45:24,Main group,77,+0'00'',+0'00'',49.58 km/h,53.50 km,-1%,105,1:47:38,54:51:39,Main group,50,+0'00'',-,-,-,-,104,1:47:38,54:58:16
