Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km171_Group,km171_Position,km171_Elapsed_time,km171_Gap_to_previous_group,km171_Average_speed,km171_Current_speed,km171_Gradient,km171_GC_prov_position,km171_GC_prov_delay,km171_GC_riding_time,km170_Group,km170_Position,km170_Elapsed_time,km170_Gap_to_previous_group,km170_Average_speed,km170_Current_speed,km170_Gradient,km170_GC_prov_position,km170_GC_prov_delay,km170_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
K. LEDANOIS,45,FST,no,99,73h 08' 32'',2:34:21,03h 46' 50'',Main group,31,+0'00'',+0'00'',0 km/h,0 km/h,0%,99,2:34:21,73:08:32,Main group,11,+0'00'',+0'00'',21.84 km/h,26.78 km,7%,98,2:34:21,73:10:33,Main group,80,+0'00'',+0'00'',55.33 km/h,57.64 km,-,98,2:34:21,73:21:25,Main group,73,+0'19'',+0'19'',55.40 km/h,47.52 km,-,98,2:34:21,73:33:24,Back of the race,126,+2'13'',+0'36'',40.46 km/h,47.63 km,-,99,2:34:57,73:46:40,Main group,93,+1'04'',+1'04'',39.34 km/h,41.69 km,-,98,2:34:21,74:00:56,Main group,117,+1'37'',+1'37'',46.58 km/h,49.86 km,-,98,2:34:21,74:14:04,Main group,73,+1'21'',+1'21'',46.21 km/h,40.50 km,-,98,2:34:21,74:29:11,Main group,102,+0'58'',+0'31'',52.79 km/h,60.12 km,-1%,97,2:34:21,74:44:27,Main group,87,+2'06'',+2'06'',40.18 km/h,43.13 km,-1%,97,2:34:21,74:57:58,Main group,69,+1'29'',+1'29'',33.66 km/h,62.14 km,-9%,97,2:34:21,75:13:02,Main group,84,+1'38'',+1'38'',37.77 km/h,39.67 km,-,97,2:34:21,75:28:55,Main group,97,+1'26'',+1'26'',42.21 km/h,22.14 km,5%,97,2:34:21,75:42:36,Main group,81,+1'15'',+1'15'',42.80 km/h,44.64 km,-,97,2:34:21,75:57:28,Main group,102,+0'50'',+0'50'',37.52 km/h,49.79 km,-,97,2:34:21,76:10:08,Main group,91,+0'40'',+0'40'',50.68 km/h,69.80 km,-5%,97,2:34:21,76:22:05,Main group,81,+0'25'',+0'25'',49.90 km/h,38.05 km,2%,97,2:34:21,76:32:17,Main group,25,+0'00'',+0'00'',44.15 km/h,47.92 km,1%,97,2:34:21,76:39:19,Main group,46,+0'00'',+0'00'',51.38 km/h,58.75 km,-7%,97,2:34:21,76:45:14,Main group,23,+0'00'',+0'00'',54.53 km/h,54.18 km,-1%,97,2:34:21,76:49:53,Main group,21,+0'00'',-,-,-,-,99,2:34:21,76:55:22
A. MOINARD,46,FST,no,41,71h 55' 33'',1:21:22,03h 46' 50'',Main group,32,+0'00'',+0'00'',0 km/h,0 km/h,0%,41,1:21:22,71:55:33,Main group,119,+0'00'',+0'00'',20.95 km/h,23.87 km,6%,41,1:21:22,71:57:34,Main group,145,+0'00'',+0'00'',55.56 km/h,56.59 km,-1%,41,1:21:22,72:08:26,Main group,143,+0'19'',+0'19'',55.53 km/h,56.16 km,-,41,1:21:22,72:20:25,Main group,93,+1'37'',+1'37'',43.43 km/h,46.94 km,-,41,1:21:22,72:33:05,Main group,129,+1'04'',+1'04'',38.98 km/h,42.98 km,-,41,1:21:22,72:47:57,Main group,141,+1'37'',+1'37'',45.35 km/h,50.69 km,-,41,1:21:22,73:01:05,Main group,136,+1'21'',+1'21'',46.24 km/h,39.85 km,-,41,1:21:22,73:16:12,Main group,123,+0'58'',+0'31'',52.91 km/h,62.03 km,-1%,40,1:21:22,73:31:28,Main group,69,+2'06'',+2'06'',40.45 km/h,43.63 km,-1%,39,1:21:22,73:44:59,Main group,116,+1'29'',+1'29'',33.13 km/h,59.80 km,-7%,40,1:21:22,74:00:03,Main group,128,+1'38'',+1'38'',37.13 km/h,35.60 km,1%,39,1:21:22,74:15:56,Main group,132,+1'26'',+1'26'',42.80 km/h,23.26 km,5%,39,1:21:22,74:29:37,Main group,116,+1'15'',+1'15'',42.50 km/h,46.58 km,-,40,1:21:22,74:44:29,Main group,132,+0'50'',+0'50'',37.21 km/h,47.34 km,-,40,1:21:22,74:57:09,Main group,128,+0'40'',+0'40'',50.40 km/h,64.48 km,-5%,40,1:21:22,75:09:06,Main group,108,+0'25'',+0'25'',50.02 km/h,36.97 km,2%,40,1:21:22,75:19:18,Main group,133,+0'00'',+0'00'',42.83 km/h,53.14 km,2%,40,1:21:22,75:26:20,Main group,100,+0'00'',+0'00'',51.59 km/h,74.48 km,-6%,40,1:21:22,75:32:15,Main group,70,+0'00'',+0'00'',56.04 km/h,47.34 km,-1%,40,1:21:22,75:36:54,Main group,75,+0'00'',-,-,-,-,40,1:21:22,75:42:23
L. PICHON,47,FST,no,103,73h 10' 45'',2:36:34,03h 46' 50'',Main group,33,+0'00'',+0'00'',0 km/h,0 km/h,0%,103,2:36:34,73:10:45,Main group,36,+0'00'',+0'00'',21.77 km/h,25.31 km,7%,102,2:36:34,73:12:46,Main group,40,+0'00'',+0'00'',55.71 km/h,58.36 km,-,102,2:36:34,73:23:38,Main group,20,+0'19'',+0'19'',55.01 km/h,46.19 km,-,102,2:36:34,73:35:37,Main group,87,+1'37'',+1'37'',43.79 km/h,46.94 km,-,102,2:36:34,73:48:17,Main group,102,+1'04'',+1'04'',39.02 km/h,43.85 km,-,102,2:36:34,74:03:09,Main group,123,+1'37'',+1'37'',45.24 km/h,49.28 km,-,102,2:36:34,74:16:17,Main group,132,+1'21'',+1'21'',46.29 km/h,38.38 km,-,102,2:36:34,74:31:24,Main group,129,+0'58'',+0'31'',52.72 km/h,63.18 km,-1%,101,2:36:34,74:46:40,Main group,127,+2'06'',+2'06'',39.93 km/h,43.56 km,-,101,2:36:34,75:00:11,Main group,134,+1'29'',+1'29'',32.55 km/h,57.10 km,-6%,101,2:36:34,75:15:15,Main group,97,+1'38'',+1'38'',37.24 km/h,40.57 km,1%,101,2:36:34,75:31:08,Main group,110,+1'26'',+1'26'',42.38 km/h,24.01 km,5%,101,2:36:34,75:44:49,Main group,142,+1'15'',+1'15'',41.71 km/h,45.32 km,-,101,2:36:34,75:59:41,Main group,124,+0'50'',+0'50'',37.68 km/h,49.14 km,-,101,2:36:34,76:12:21,Main group,122,+0'40'',+0'40'',50.16 km/h,68.44 km,-5%,101,2:36:34,76:24:18,Main group,71,+0'25'',+0'25'',49.86 km/h,36.07 km,2%,101,2:36:34,76:34:30,Main group,64,+0'00'',+0'00'',43.48 km/h,49.72 km,2%,101,2:36:34,76:41:32,Main group,111,+0'00'',+0'00'',49.95 km/h,75.38 km,-4%,101,2:36:34,76:47:27,Main group,93,+0'00'',+0'00'',56.22 km/h,46.04 km,-1%,101,2:36:34,76:52:06,Main group,73,+0'00'',-,-,-,-,102,2:36:34,76:57:35
F. VACHON,48,FST,no,100,73h 09' 06'',2:34:55,03h 48' 20'',Main group,34,+0'00'',+0'00'',0 km/h,0 km/h,0%,100,2:34:55,73:09:06,Main group,32,+0'00'',+0'00'',21.41 km/h,26.10 km,7%,99,2:34:55,73:11:07,Main group,53,+0'00'',+0'00'',56.05 km/h,56.66 km,-,99,2:34:55,73:21:59,Main group,44,+0'19'',+0'19'',55.49 km/h,46.33 km,-,99,2:34:55,73:33:58,Main group,90,+1'37'',+1'37'',43.84 km/h,48.06 km,-,98,2:34:55,73:46:38,Main group,117,+1'04'',+1'04'',38.95 km/h,41.33 km,-,99,2:34:55,74:01:30,Main group,99,+1'37'',+1'37'',44.81 km/h,49.46 km,-,99,2:34:55,74:14:38,Main group,102,+1'21'',+1'21'',45.87 km/h,37.87 km,-,99,2:34:55,74:29:45,Main group,75,+0'58'',+0'31'',53.38 km/h,59.15 km,-1%,98,2:34:55,74:45:01,Main group,58,+2'06'',+2'06'',40.39 km/h,43.67 km,-1%,98,2:34:55,74:58:32,Main group,68,+1'29'',+1'29'',33.65 km/h,59.62 km,-10%,98,2:34:55,75:13:36,Main group,99,+1'38'',+1'38'',36.66 km/h,40.18 km,1%,98,2:34:55,75:29:29,Main group,122,+1'26'',+1'26'',42.68 km/h,24.26 km,5%,98,2:34:55,75:43:10,Main group,119,+1'15'',+1'15'',42.77 km/h,46.08 km,-,98,2:34:55,75:58:02,Main group,128,+0'50'',+0'50'',37.94 km/h,48.53 km,-,98,2:34:55,76:10:42,Main group,81,+0'40'',+0'40'',50.46 km/h,70.85 km,-5%,98,2:34:55,76:22:39,Main group,49,+0'25'',+0'25'',49.93 km/h,36.61 km,2%,98,2:34:55,76:32:51,Main group,33,+0'00'',+0'00'',44.17 km/h,48.13 km,1%,98,2:34:55,76:39:53,Main group,86,+0'00'',+0'00'',50.56 km/h,71.50 km,-7%,98,2:34:55,76:45:48,Main group,86,+0'00'',+0'00'',55.13 km/h,46.08 km,-1%,98,2:34:55,76:50:27,Stragglers,103,+1'30'',-,-,-,-,101,2:36:25,76:57:26
S. COLBRELLI,52,TBM,no,105,73h 12' 26'',2:38:15,03h 46' 50'',Main group,35,+0'00'',+0'00'',0 km/h,0 km/h,0%,105,2:38:15,73:12:26,Main group,79,+0'00'',+0'00'',21.23 km/h,25.27 km,7%,104,2:38:15,73:14:27,Main group,54,+0'00'',+0'00'',55.94 km/h,55.73 km,-,104,2:38:15,73:25:19,Main group,76,+0'19'',+0'19'',55.74 km/h,44.46 km,-,104,2:38:15,73:37:18,Back of the race,134,+2'13'',+0'36'',40.29 km/h,48.74 km,-,104,2:38:51,73:50:34,Main group,53,+1'04'',+1'04'',39.02 km/h,41.44 km,-,104,2:38:15,74:04:50,Main group,74,+1'37'',+1'37'',44.98 km/h,50.44 km,-1%,104,2:38:15,74:17:58,Main group,61,+1'21'',+1'21'',45.98 km/h,41.00 km,-,104,2:38:15,74:33:05,Main group,56,+0'58'',+0'31'',54.20 km/h,61.67 km,-1%,103,2:38:15,74:48:21,Main group,53,+2'06'',+2'06'',40.77 km/h,46.87 km,-1%,103,2:38:15,75:01:52,Main group,58,+1'29'',+1'29'',33.90 km/h,61.34 km,-9%,103,2:38:15,75:16:56,Main group,47,+1'38'',+1'38'',37.57 km/h,45.14 km,1%,103,2:38:15,75:32:49,Main group,119,+1'26'',+1'26'',45.70 km/h,22.50 km,5%,103,2:38:15,75:46:30,Main group,80,+1'15'',+1'15'',42.79 km/h,45.25 km,-,103,2:38:15,76:01:22,Main group,45,+0'50'',+0'50'',38.55 km/h,45.54 km,1%,103,2:38:15,76:14:02,Main group,78,+0'40'',+0'40'',50.68 km/h,67.61 km,-5%,103,2:38:15,76:25:59,Main group,62,+0'25'',+0'25'',49.84 km/h,37.40 km,2%,103,2:38:15,76:36:11,Main group,34,+0'00'',+0'00'',44.13 km/h,48.20 km,1%,103,2:38:15,76:43:13,Main group,16,+0'00'',+0'00'',51.69 km/h,63.04 km,-7%,103,2:38:15,76:49:08,Main group,30,+0'00'',+0'00'',54.72 km/h,53.71 km,-1%,103,2:38:15,76:53:47,Main group,5,+0'00'',-,-,-,-,103,2:38:15,76:59:16
H. HAUSSLER,53,TBM,no,124,73h 32' 23'',2:58:12,03h 46' 50'',Main group,36,+0'00'',+0'00'',0 km/h,0 km/h,0%,124,2:58:12,73:32:23,Main group,60,+0'00'',+0'00'',22.04 km/h,27.50 km,7%,123,2:58:12,73:34:24,Main group,60,+0'00'',+0'00'',56.11 km/h,55.87 km,-,123,2:58:12,73:45:16,Main group,11,+0'19'',+0'19'',55.95 km/h,49.86 km,-,124,2:58:12,73:57:15,Main group,31,+1'37'',+1'37'',44.70 km/h,48.13 km,-,124,2:58:12,74:09:55,Main group,85,+1'04'',+1'04'',38.84 km/h,42.30 km,-,124,2:58:12,74:24:47,Main group,95,+1'37'',+1'37'',45.14 km/h,51.41 km,-,124,2:58:12,74:37:55,Main group,80,+1'21'',+1'21'',45.89 km/h,40.10 km,-,124,2:58:12,74:53:02,Main group,136,+0'58'',+0'31'',51.10 km/h,57.82 km,-,122,2:58:12,75:08:18,Main group,132,+2'06'',+2'06'',40.11 km/h,42.66 km,-,123,2:58:12,75:21:49,Main group,141,+1'29'',+1'29'',32.12 km/h,55.15 km,-5%,123,2:58:12,75:36:53,Main group,45,+1'38'',+1'38'',38.24 km/h,44.89 km,1%,123,2:58:12,75:52:46,Main group,62,+1'26'',+1'26'',42.02 km/h,22.39 km,5%,123,2:58:12,76:06:27,Main group,86,+1'15'',+1'15'',42.84 km/h,46.19 km,-,123,2:58:12,76:21:19,Main group,119,+0'50'',+0'50'',37.36 km/h,49.97 km,-,123,2:58:12,76:33:59,Main group,84,+0'40'',+0'40'',50.96 km/h,70.81 km,-5%,123,2:58:12,76:45:56,Main group,80,+0'25'',+0'25'',50.12 km/h,36.83 km,2%,123,2:58:12,76:56:08,Main group,87,+0'00'',+0'00'',43.89 km/h,48.42 km,2%,122,2:58:12,77:03:10,Main group,28,+0'00'',+0'00'',51.47 km/h,59.29 km,-7%,122,2:58:12,77:09:05,Main group,42,+0'00'',+0'00'',54.73 km/h,49.25 km,-1%,122,2:58:12,77:13:44,Main group,83,+0'00'',-,-,-,-,122,2:58:12,77:19:13
G. IZAGUIRRE INSAUSTI,54,TBM,no,28,71h 17' 25'',0:43:14,03h 48' 53'',Main group,37,+0'00'',+0'00'',0 km/h,0 km/h,0%,28,0:43:14,71:17:25,Main group,89,+0'00'',+0'00'',21.63 km/h,26.24 km,7%,28,0:43:14,71:19:26,Main group,71,+0'00'',+0'00'',55.75 km/h,58.10 km,-,28,0:43:14,71:30:18,Main group,61,+0'19'',+0'19'',56.06 km/h,46.22 km,-,28,0:43:14,71:42:17,Main group,51,+1'37'',+1'37'',44.71 km/h,47.34 km,-,28,0:43:14,71:54:57,Main group,68,+1'04'',+1'04'',38.99 km/h,42.12 km,-,28,0:43:14,72:09:49,Main group,90,+1'37'',+1'37'',44.96 km/h,49.61 km,-,28,0:43:14,72:22:57,Main group,109,+1'21'',+1'21'',45.86 km/h,41.54 km,-,28,0:43:14,72:38:04,Main group,125,+0'58'',+0'31'',53.31 km/h,60.12 km,-1%,27,0:43:14,72:53:20,Main group,110,+2'06'',+2'06'',40.40 km/h,48.85 km,-,27,0:43:14,73:06:51,Main group,75,+1'29'',+1'29'',33.81 km/h,62.35 km,-9%,27,0:43:14,73:21:55,Main group,56,+1'38'',+1'38'',38.06 km/h,44.96 km,-,27,0:43:14,73:37:48,Main group,76,+1'26'',+1'26'',42.34 km/h,21.78 km,5%,27,0:43:14,73:51:29,Main group,41,+1'15'',+1'15'',43.14 km/h,46.73 km,-,27,0:43:14,74:06:21,Main group,87,+0'50'',+0'50'',38.12 km/h,51.59 km,-,27,0:43:14,74:19:01,Main group,102,+0'40'',+0'40'',50.71 km/h,67.75 km,-5%,27,0:43:14,74:30:58,Main group,127,+0'25'',+0'25'',49.79 km/h,36.18 km,2%,27,0:43:14,74:41:10,Main group,82,+0'00'',+0'00'',43.97 km/h,50.90 km,2%,27,0:43:14,74:48:12,Main group,93,+0'00'',+0'00'',50.61 km/h,68.80 km,-6%,27,0:43:14,74:54:07,Main group,103,+0'00'',+0'00'',55.36 km/h,43.27 km,-1%,27,0:43:14,74:58:46,Stragglers,108,+2'03'',-,-,-,-,28,0:45:17,75:06:18
J. IZAGUIRRE INSAUSTI,55,TBM,no,25,71h 11' 35'',0:37:24,03h 49' 24'',Main group,38,+0'00'',+0'00'',0 km/h,0 km/h,0%,25,0:37:24,71:11:35,Main group,72,+0'00'',+0'00'',21.47 km/h,22.93 km,7%,25,0:37:24,71:13:36,Main group,64,+0'00'',+0'00'',56.04 km/h,60.12 km,-,25,0:37:24,71:24:28,Main group,59,+0'19'',+0'19'',55.79 km/h,47.66 km,-,25,0:37:24,71:36:27,Main group,113,+1'37'',+1'37'',43.27 km/h,39.24 km,-,25,0:37:24,71:49:07,Main group,94,+1'04'',+1'04'',38.82 km/h,41.18 km,-,25,0:37:24,72:03:59,Main group,135,+1'37'',+1'37'',44.61 km/h,41.40 km,-,25,0:37:24,72:17:07,Main group,131,+1'21'',+1'21'',46.05 km/h,38.48 km,-,25,0:37:24,72:32:14,Main group,92,+0'58'',+0'31'',53.30 km/h,61.63 km,-1%,24,0:37:24,72:47:30,Main group,138,+2'06'',+2'06'',40.19 km/h,44.21 km,-,24,0:37:24,73:01:01,Main group,123,+1'29'',+1'29'',33.25 km/h,54.43 km,-6%,24,0:37:24,73:16:05,Main group,55,+1'38'',+1'38'',37.92 km/h,44.39 km,-,24,0:37:24,73:31:58,Main group,57,+1'26'',+1'26'',42.19 km/h,23.22 km,5%,24,0:37:24,73:45:39,Main group,45,+1'15'',+1'15'',42.57 km/h,46.12 km,-,24,0:37:24,74:00:31,Main group,75,+0'50'',+0'50'',38.01 km/h,50.47 km,-,24,0:37:24,74:13:11,Main group,93,+0'40'',+0'40'',50.83 km/h,70.16 km,-5%,24,0:37:24,74:25:08,Main group,72,+0'25'',+0'25'',49.77 km/h,37.98 km,2%,24,0:37:24,74:35:20,Main group,60,+0'00'',+0'00'',44.04 km/h,50.15 km,2%,24,0:37:24,74:42:22,Main group,96,+0'00'',+0'00'',50.39 km/h,74.77 km,-6%,24,0:37:24,74:48:17,Main group,81,+0'00'',+0'00'',55.55 km/h,44.32 km,-1%,24,0:37:24,74:52:56,Stragglers,127,+2'34'',-,-,-,-,25,0:39:58,75:00:59
K. KOREN,56,TBM,no,97,73h 07' 01'',2:32:50,03h 46' 50'',Main group,39,+0'00'',+0'00'',0 km/h,0 km/h,0%,97,2:32:50,73:07:01,Main group,66,+0'00'',+0'00'',22.00 km/h,26.68 km,7%,96,2:32:50,73:09:02,Main group,39,+0'00'',+0'00'',55.96 km/h,58.14 km,-,96,2:32:50,73:19:54,Main group,27,+0'19'',+0'19'',55.96 km/h,47.41 km,-,96,2:32:50,73:31:53,Back of the race,142,+2'13'',+0'36'',40.00 km/h,48.96 km,-,97,2:33:26,73:45:09,Main group,66,+1'04'',+1'04'',38.74 km/h,41.08 km,-,96,2:32:50,73:59:25,Main group,69,+1'37'',+1'37'',45.41 km/h,49.64 km,-1%,96,2:32:50,74:12:33,Main group,66,+1'21'',+1'21'',46.24 km/h,41.04 km,-,96,2:32:50,74:27:40,Main group,103,+0'58'',+0'31'',53.93 km/h,59.40 km,-1%,95,2:32:50,74:42:56,Main group,32,+2'06'',+2'06'',40.40 km/h,45.61 km,-1%,95,2:32:50,74:56:27,Main group,53,+1'29'',+1'29'',34.77 km/h,63.47 km,-9%,95,2:32:50,75:11:31,Main group,50,+1'38'',+1'38'',37.98 km/h,44.21 km,1%,95,2:32:50,75:27:24,Main group,141,+1'26'',+1'26'',44.78 km/h,25.06 km,5%,95,2:32:50,75:41:05,Main group,44,+1'15'',+1'15'',43.24 km/h,46.19 km,-,95,2:32:50,75:55:57,Main group,56,+0'50'',+0'50'',38.78 km/h,50.98 km,1%,95,2:32:50,76:08:37,Main group,50,+0'40'',+0'40'',50.84 km/h,68.87 km,-5%,95,2:32:50,76:20:34,Main group,25,+0'25'',+0'25'',50.10 km/h,38.74 km,3%,95,2:32:50,76:30:46,Main group,14,+0'00'',+0'00'',44.27 km/h,51.34 km,1%,95,2:32:50,76:37:48,Main group,43,+0'00'',+0'00'',51.58 km/h,55.55 km,-7%,95,2:32:50,76:43:43,Main group,54,+0'00'',+0'00'',54.59 km/h,46.15 km,-1%,95,2:32:50,76:48:22,Main group,86,+0'00'',-,-,-,-,97,2:32:50,76:53:51
F. PELLIZOTTI,57,TBM,no,55,72h 12' 13'',1:38:02,03h 49' 24'',Main group,40,+0'00'',+0'00'',0 km/h,0 km/h,0%,55,1:38:02,72:12:13,Main group,57,+0'00'',+0'00'',21.47 km/h,27.04 km,7%,55,1:38:02,72:14:14,Main group,96,+0'00'',+0'00'',55.57 km/h,56.84 km,-1%,55,1:38:02,72:25:06,Main group,118,+0'19'',+0'19'',55.45 km/h,52.09 km,-,55,1:38:02,72:37:05,Main group,92,+1'37'',+1'37'',43.86 km/h,45.40 km,-,55,1:38:02,72:49:45,Main group,101,+1'04'',+1'04'',39.12 km/h,43.06 km,-,55,1:38:02,73:04:37,Main group,91,+1'37'',+1'37'',45.88 km/h,49.90 km,-,55,1:38:02,73:17:45,Main group,103,+1'21'',+1'21'',46.72 km/h,39.74 km,-,55,1:38:02,73:32:52,Main group,111,+0'58'',+0'31'',53.37 km/h,59.76 km,-1%,54,1:38:02,73:48:08,Main group,95,+2'06'',+2'06'',45.22 km/h,43.96 km,-1%,54,1:38:02,74:01:39,Main group,72,+1'29'',+1'29'',33.98 km/h,63.90 km,-10%,54,1:38:02,74:16:43,Main group,86,+1'38'',+1'38'',37.18 km/h,38.77 km,-,54,1:38:02,74:32:36,Main group,89,+1'26'',+1'26'',42.18 km/h,22.75 km,5%,54,1:38:02,74:46:17,Main group,103,+1'15'',+1'15'',42.55 km/h,45.50 km,-,54,1:38:02,75:01:09,Main group,97,+0'50'',+0'50'',37.95 km/h,51.16 km,-,54,1:38:02,75:13:49,Main group,121,+0'40'',+0'40'',50.24 km/h,67.86 km,-5%,54,1:38:02,75:25:46,Main group,109,+0'25'',+0'25'',50.19 km/h,36.43 km,2%,54,1:38:02,75:35:58,Main group,103,+0'00'',+0'00'',43.49 km/h,49.97 km,2%,54,1:38:02,75:43:00,Main group,103,+0'00'',+0'00'',50.84 km/h,72.11 km,-5%,54,1:38:02,75:48:55,Main group,116,+0'00'',+0'00'',55.71 km/h,46.94 km,-1%,54,1:38:02,75:53:34,Stragglers,130,+2'34'',-,-,-,-,57,1:40:36,76:01:37
D. POZZOVIVO,58,TBM,no,21,71h 07' 22'',0:33:11,03h 46' 50'',Main group,41,+0'00'',+0'00'',0 km/h,0 km/h,0%,21,0:33:11,71:07:22,Main group,130,+0'00'',+0'00'',21.17 km/h,24.91 km,6%,21,0:33:11,71:09:23,Main group,132,+0'00'',+0'00'',55.50 km/h,56.12 km,-1%,21,0:33:11,71:20:15,Main group,136,+0'19'',+0'19'',55.97 km/h,56.66 km,-,21,0:33:11,71:32:14,Back of the race,131,+2'13'',+0'36'',40.39 km/h,51.05 km,-,22,0:33:47,71:45:30,Main group,87,+1'04'',+1'04'',39.14 km/h,42.95 km,-,21,0:33:11,71:59:46,Main group,98,+1'37'',+1'37'',45.29 km/h,49.39 km,-,21,0:33:11,72:12:54,Main group,88,+1'21'',+1'21'',45.99 km/h,37.84 km,-,21,0:33:11,72:28:01,Main group,85,+0'58'',+0'31'',53.24 km/h,59.65 km,-1%,20,0:33:11,72:43:17,Main group,99,+2'06'',+2'06'',40.19 km/h,44.24 km,-1%,20,0:33:11,72:56:48,Main group,93,+1'29'',+1'29'',33.61 km/h,66.46 km,-10%,20,0:33:11,73:11:52,Main group,91,+1'38'',+1'38'',37.54 km/h,39.06 km,-,20,0:33:11,73:27:45,Main group,83,+1'26'',+1'26'',42.45 km/h,22.75 km,5%,20,0:33:11,73:41:26,Main group,73,+1'15'',+1'15'',42.82 km/h,45.90 km,-,20,0:33:11,73:56:18,Main group,113,+0'50'',+0'50'',37.59 km/h,50.62 km,-,20,0:33:11,74:08:58,Main group,112,+0'40'',+0'40'',50.53 km/h,65.99 km,-5%,20,0:33:11,74:20:55,Main group,66,+0'25'',+0'25'',50.05 km/h,35.78 km,2%,20,0:33:11,74:31:07,Main group,32,+0'00'',+0'00'',44.09 km/h,49.25 km,1%,20,0:33:11,74:38:09,Main group,81,+0'00'',+0'00'',50.93 km/h,70.96 km,-7%,20,0:33:11,74:44:04,Main group,52,+0'00'',+0'00'',55.41 km/h,49.32 km,-1%,20,0:33:11,74:48:43,Main group,34,+0'00'',-,-,-,-,20,0:33:11,74:54:12
